user_id,movie_id,rating,timestamp,implicit_score,final_score
196,242,3,881250949,0.0,3.0
186,302,3,891717742,0.0,3.0
22,377,1,878887116,0.0,1.0
244,51,2,880606923,0.0,2.0
166,346,1,886397596,0.0,1.0
298,474,4,884182806,0.0,4.0
115,265,2,881171488,0.0,2.0
253,465,5,891628467,0.0,5.0
305,451,3,886324817,3.0,3.9
6,86,3,883603013,0.0,3.0
62,257,2,879372434,0.0,2.0
286,1014,5,879781125,0.0,5.0
200,222,5,876042340,0.0,5.0
210,40,3,891035994,0.0,3.0
224,29,3,888104457,0.0,3.0
303,785,3,879485318,0.0,3.0
122,387,5,879270459,0.0,5.0
194,274,2,879539794,0.0,2.0
291,1042,4,874834944,0.0,4.0
234,1184,2,892079237,0.0,2.0
119,392,4,886176814,0.0,4.0
167,486,4,892738452,0.0,4.0
299,144,4,877881320,0.0,4.0
291,118,2,874833878,2.0,2.6
308,1,4,887736532,0.0,4.0
95,546,2,879196566,0.0,2.0
38,95,5,892430094,0.0,5.0
102,768,2,883748450,0.0,2.0
63,277,4,875747401,0.0,4.0
160,234,5,876861185,0.0,5.0
50,246,3,877052329,0.0,3.0
301,98,4,882075827,0.0,4.0
225,193,4,879539727,0.0,4.0
290,88,4,880731963,0.0,4.0
97,194,3,884238860,0.0,3.0
157,274,4,886890835,0.0,4.0
181,1081,1,878962623,0.0,1.0
278,603,5,891295330,0.0,5.0
276,796,1,874791932,0.0,1.0
7,32,4,891350932,-2.0,3.4
10,16,4,877888877,0.0,4.0
284,304,4,885329322,0.0,4.0
201,979,2,884114233,0.0,2.0
276,564,3,874791805,0.0,3.0
287,327,5,875333916,0.0,5.0
246,201,5,884921594,0.0,5.0
242,1137,5,879741196,0.0,5.0
249,241,5,879641194,0.0,5.0
99,4,5,886519097,0.0,5.0
178,332,3,882823437,0.0,3.0
251,100,4,886271884,0.0,4.0
81,432,2,876535131,0.0,2.0
260,322,4,890618898,0.0,4.0
25,181,5,885853415,2.0,5.6
59,196,5,888205088,0.0,5.0
72,679,2,880037164,0.0,2.0
87,384,4,879877127,0.0,4.0
290,143,5,880474293,0.0,5.0
42,423,5,881107687,0.0,5.0
292,515,4,881103977,0.0,4.0
115,20,3,881171009,0.0,3.0
20,288,1,879667584,0.0,1.0
201,219,4,884112673,0.0,4.0
13,526,3,882141053,0.0,3.0
246,919,4,884920949,0.0,4.0
138,26,5,879024232,0.0,5.0
167,232,1,892738341,0.0,1.0
60,427,5,883326620,0.0,5.0
57,304,5,883698581,0.0,5.0
223,274,4,891550094,0.0,4.0
189,512,4,893277702,-3.0,3.1
243,15,3,879987440,0.0,3.0
92,1049,1,890251826,0.0,1.0
246,416,3,884923047,0.0,3.0
194,165,4,879546723,0.0,4.0
241,690,2,887249482,-2.0,1.4
178,248,4,882823954,0.0,4.0
254,1444,3,886475558,0.0,3.0
293,5,3,888906576,0.0,3.0
127,229,5,884364867,0.0,5.0
225,237,5,879539643,0.0,5.0
299,229,3,878192429,0.0,3.0
225,480,5,879540748,0.0,5.0
276,54,3,874791025,0.0,3.0
291,144,5,874835091,0.0,5.0
222,366,4,878183381,0.0,4.0
267,518,5,878971773,0.0,5.0
42,403,3,881108684,-2.0,2.4
11,111,4,891903862,2.0,4.6
95,625,4,888954412,0.0,4.0
8,338,4,879361873,0.0,4.0
162,25,4,877635573,0.0,4.0
87,1016,4,879876194,0.0,4.0
279,154,5,875296291,0.0,5.0
145,275,2,885557505,0.0,2.0
119,1153,5,874781198,3.0,5.9
62,498,4,879373848,0.0,4.0
62,382,3,879375537,3.0,3.9
28,209,4,881961214,0.0,4.0
135,23,4,879857765,0.0,4.0
32,294,3,883709863,0.0,3.0
90,382,5,891383835,3.0,5.9
286,208,4,877531942,2.0,4.6
293,685,3,888905170,3.0,3.9
216,144,4,880234639,0.0,4.0
166,328,5,886397722,0.0,5.0
250,496,4,878090499,3.0,4.9
271,132,5,885848672,0.0,5.0
160,174,5,876860807,0.0,5.0
265,118,4,875320714,0.0,4.0
198,498,3,884207492,0.0,3.0
42,96,5,881107178,0.0,5.0
168,151,5,884288058,0.0,5.0
110,307,4,886987260,0.0,4.0
58,144,4,884304936,2.0,4.6
90,648,4,891384754,3.0,4.9
271,346,4,885844430,0.0,4.0
